userName;score;content;at;
Mfadil Fadillah;5;mohon diblokir livin mandiri saya karn a sudah di hecker/ di bajak penipu;28/12/2025 23:13;
Veteran Veteran;3;kenapa harus di update terus sih ?? padahal sudah di update pun tetep sama lelet nya;28/12/2025 22:41;
Dea meinanda;1;gak bisa dibuka;28/12/2025 20:21;
JOHAN SIMAMORA (JS);5;ok;28/12/2025 19:28;
Ardiva Gnd;1;lupa password nya gw gak bisa login pdhl ada uang buat makan di kosan;28/12/2025 18:08;
Yusuf Ye;eS;1;parah saldo tiba tiba hilang data transaksi tidak ada bukan masalah nominalnya tapi sangat merugikan saya minta saldo saya kembali;28/12/2025 17:59
ilhama buanawati;1;akhir² ini sering eror, bkin males.;28/12/2025 17:39;
Andi Derian;5;aplikasi nya gimana sih,, udah jd nasabah mandiri sekarang d suruh login lg;28/12/2025 16:55;
Claude Dexter;1;kebanyakan jam offline;28/12/2025 16:14;
abdul hamid;5;simpel berr guna untuk menyimpan yank;28/12/2025 15:27;
Ervi Ana01;5;Saya suka;28/12/2025 14:32;
Leni Riyanti;5;sangat mudah bertransaksi;28/12/2025 14:03;
Nur Hayati;5;ok;28/12/2025 13:46;
Riska Fatmala;4;deeh eweh;28/12/2025 13:39;
Achmad Madu;5;assalamu'alaikum pak/bu,, mohon bantuannya saya tidak bisa login ke aplikasi livin by mandiri karna ganti HP baru,, setelah saya mau login harus masukan kartu debit,, sementara itu saya gak punya kartu debit,, mohon bantuannya pak/bu,, soalnya persyaratan gaji harus mempunyai bank mandiri mohon bantuannya;28/12/2025 13:37;
Slamet Alex;1;aplikasi ga membantu sama sekali, mala ruwet;28/12/2025 13:34;
Abdul Aziz;4;Alhamdulillah untuk saat2 ini perlu di apresiasi mandiri terbaik memang;28/12/2025 13:31;
Siti Maryam;2;knpa sih apliksi dah di updete bolak balik masih sering eror dn gk bisa di pke lg... jujur kecewa;28/12/2025 13:14;
Suwardi Ateng;5;sangat bagus;28/12/2025 12:59;
Feby Ndutt;1;"sebenernya apknya bgus tpi dri kmren"" mau login gk bisa"" trs";28/12/2025 12:56;
Kenzo Shaquille;5;sangat bagus;28/12/2025 12:39;
Narendra Irawan;1;dua kali buat kartu debit fisik melalui livin gak ada yang nyampe ke rumah, statusnya terkirim tapi gak tau siapa yang nerima...,;28/12/2025 11:58;
Julaekha;1;"sangat teramat sangat bikin darah tinggi tiba"" ajh gak bisa kebuka pdhl tdk dlm panggilan telpon bisa"" nya ngelag ad gambar tdk bisa mengakses udh diperbarui udh diinstal ulang malah bolak baling selfie pasword pin Selfi pasword pin tolong dong perbaiki lagi sistemnya";28/12/2025 11:58;
Auzoravalerie Elma;5;Ok;28/12/2025 10:54;
Midi Tarmidzi;5;ko payleter saya lom bisa di gunakan lgi y;28/12/2025 09:30;
Kadal;5;ok;28/12/2025 09:30;
Rahmad Hidayat;4;Kenapa menu pengajuan pinjaman KSM nya tidak muncul ?;28/12/2025 09:08;
M.Novian Aldi;5;sangat mudah digunakan;28/12/2025 09:06;
zafran gazani;5;top;28/12/2025 08:34;
San Ha;5;sangat membantu dan mudah untuk di gunakan terimakasih living;28/12/2025 08:31;
Fahri Ueen;1;livin tolong dong ,jangan kebanyakan iklan di apk xa , bikin rusuh aja;28/12/2025 08:29;
Viedie Einsteinuout yuuyy;4;apknya masih berat;28/12/2025 08:18;
Farizi;5;aplikasi sangat membatu mempermudah transaksi keren;28/12/2025 08:09;
Yuni Ramadani;1;aplikasi longor;28/12/2025 07:58;
Syaiful AliFuddin;5;transaksi aman;28/12/2025 07:48;
ayu rahayu;4;Sejauh ini oke oke saja pake aplikasi livin. tapi setiap ada pemberitahuan untuk Upgrade,harus saat itu juga. tidak ada pilihan Nanti / Upgrade. sedangkan memori kadang tidak cukup ya,,tadinya pengen bayar pake livin,malah nggak jadi. mungkin kurangnya disitu saja.;28/12/2025 07:44;
Abdulmashar Helmi;5;good;28/12/2025 07:10;
Hidayat Ayat;5;cukup bagus;28/12/2025 06:27;
Izlal Aiman Sajid;2;banyak update terus.;28/12/2025 04:48;
Andrean Alvaro Putra;5;ini kenapa nga bisa top up dana!!!, dari kemarin masih aja gitu, padahal udh update, udh dikaitkan akun dana nya masih aja ga bisaaaaa!!!.;28/12/2025 04:44;
Ray Yan;5;aplikasinya bagus;28/12/2025 04:01;
Rizky Syahputra;5;sangat membantu;28/12/2025 03:39;
Ateng Teng;4;tolong di perbaiki,masak transaksi gagal tapi tetap ke potong biaya admin kan gak logis padahal transaksi gagal.;28/12/2025 03:27;
Imanuel Marsyom;5;Aman 👍;28/12/2025 03:20;
Vhika Nur oktavia;4;terimakaish karna telah menanggapi keluhan saya,,semoga tidak terulang lagi.;28/12/2025 02:49;
Iris Minaj;1;kmrn ok bget livin, tapi skrng apa² ada biaya adminnya 1.000. jadi mikir klau mau bayar shoppe, top up dana, dll pake livin karna ada biaya adminnya. sangat disayangkan sih👎👎👎;28/12/2025 02:48;
Agustin Agustin;5;sebenernya enak punya Livin,tapi knapa Livin saya ngk bisa d abdete;28/12/2025 02:46;
jey boy;5;sayang membantu,aplikasinya keren pokonya👍;28/12/2025 02:06;
Gilang Fadlli;5;selama ini lancar tanpa ada hambatan..terima masih livin sudah memudahkan sgala transaksi;28/12/2025 01:48;
Romiza Tebo;2;semoga bisa membantu saya update yg terbaru Livin by Mandiri karna barxxgagal;28/12/2025 01:01;
Edi Edi;1;sangat buruk n lemot ....;28/12/2025 01:00;
Agus Cool;1;setiap mau login selalu gagal padahal lagi butuh banget pake aplikasinya mengecewakan sekali;28/12/2025 00:35;
Nutrisari Mangga;1;dapatar di linvin tidak punya kartu,pas lupa pin langsung kena blokir hilang duit saya;28/12/2025 00:21;
Siti Waidi;5;aplikasiyg sangat bagus dansangat memudahkan, thanks;28/12/2025 00:09;
ambun sadputriapt;3;proses login luaamaaa..;28/12/2025 00:07;
Dru Salam;4;jadi banyak inlan di aplikasi ini, bikin ga nyaman saat digunakan;27/12/2025 23:17;
Nova Ayu W Suhartono;1;untuk app perbankan ini terlalu berat, sedang pengguna dari berbagai kalangan dgn spek gawai beragam. Sy rasa sering minta update drpd app bank lain.;27/12/2025 23:08;
Muhammad Taufik;1;kode revala tidak ada apk gak jelas;27/12/2025 22:42;
Bagus Hermawan;2;setelah update malah gabisa masuk katanya nomer handphone nya bermasalah padahal tidak pernah ganti,kendalanyya sudah masukan nomer lalu otp sudah keluar dan yang terjadi layanan tidak tersedia untuk sementara,kami sedang melakukan peningkatan untuk layanan ini bagai mana ini livin mandiri tolong di perbaiki lagi;27/12/2025 22:20;
Maz Tara;1;aplikasinya gk bisa dibuka;27/12/2025 20:50;
Adi Yoga;5;bagus terjamin;27/12/2025 19:51;
NUR ALIM (ALIM);5;sangat bagus Tampa kendala;27/12/2025 19:48;
Maulana Ardi pratama;1;eror muluuuu;27/12/2025 19:09;
Fajri Maulana;3;livi terlalu banyak maintence, setiap hari sekitar jam 23.00 sama jam 2 malam pasti gabisa transaksi, jadi ketika ada keperluan transaksi di waktu tersebut selalu ada kendala/gabisa transaksi;27/12/2025 19:08;
Tian Daeng;1;jam malam sering eror;27/12/2025 18:14;
Ridwan Farrasah;3;bagaimana ya caranya mengajukan kartu kredit skyz di livin mandiri;27/12/2025 17:51;
Pendilin Lin;5;bagus;27/12/2025 17:42;
Om Rijki;1;kenapah transaksi setiap jam 11 MLM pasti susah eror bikin susah ajh mohon di perbaiki bikin mls ajh lama lama sayah hapus juga;27/12/2025 17:05;
Ap;5;kalau bisa kasi fitur buat ganti2 tema home biar ada yg fresh;27/12/2025 16:39;
Ranol Ts;1;app mandiri living terlalu sering gangguan di daerah Jawabarat, memuakkan !!! mau tutup rekening aja, pindah ke yg biru lebih baik !!;27/12/2025 16:13;
Yan tri0109;5;ok😎;27/12/2025 15:29;
Muhammad Affandi Khoiri;1;ga bisa transfer sama tarik dana gagal trus aneh;27/12/2025 15:02;
Wan Fals;1;kenapa slalu ada potongan... HAMPIR 50%. PARAH;27/12/2025 14:45;
Muhammad Raffaiz;3;aduhhhh ini aplikasi masa iya setiap bulan harus di upgrade 😡;27/12/2025 14:05;
Linda;2;gangguan saat SMS otp y tolong di pantau dulu saya mau bikin;27/12/2025 13:59;
maskalem 2025;5;livin emang join;27/12/2025 13:21;
Nona Yuyun;5;saya tidak bisa log in ke Livin by mandiri kak,mohon bantuannya🙏🏻;27/12/2025 13:02;
Dimas Satrio;1;login sangat teramat susah;27/12/2025 12:27;
BG NAINGGOLAN;5;bagus;27/12/2025 12:25;
Bahira;1;min gimana yah?saya sudah daftar livin via online 2 minggu yg lalu tapi pas login malah di suruh tunggu?yh memang kartu fisik belum ada.tapi kan saya sudah daftar online.;27/12/2025 12:25;
Abdul Azis;4;livin is the best👍👌;27/12/2025 12:02;
Supriyah Supri;5;sangat bagus dan mudah;27/12/2025 11:52;
Enal Umar;4;bagaimana cara ngatasi errorNya, gak bisa dibuka aplikasinya;27/12/2025 11:15;
Hilaliyah Ahmad;1;ga bisa dibuka sama sekali. loading aja ga bisa login;27/12/2025 11:12;
Mohammad Ali;5;hebat;27/12/2025 10:43;
stenly leatemia;2;tidak ada pengajuan pinjaman. tolong di buat apalagi kaya kita yg kerja di perusahaan kan enak tinggal potongan aja di gaji;27/12/2025 10:25;
Pendi;5;good job;27/12/2025 08:35;
IvanAdhi Nugroho;1;ko sekarang masuk Livin susah banget, cek keamanan akun terlebih dahulu,ini kan hp saya pribadi yg dipake biasa Livin, aneh bgt jdi mempersulit gini,tolongg dong perbaiki ini gmna;27/12/2025 07:59;
Stefanus Saha;5;bisa membantu kita disaat kepepet... enga harus jauh2 kit kirim uang ,,🙏🏾;27/12/2025 07:56;
Rita Dewi;1;kenapa sekarang malah gak bisa daftar livin, makin lama makin jelek aja apk livin ini, tolong lah perbaiki, kalo gak bisa daftar apa dong gunanya apk ini....;27/12/2025 07:33;
Ahmad Husaeri;5;bagus lebih mudah bertansaksi;27/12/2025 07:24;
Peler Besar;1;mending bca;27/12/2025 06:53;
retno asih;5;👍;27/12/2025 05:56;
berlian HD;1;"aplikasi mudah error ,hati"" data kalian saat aktivasi,masak tiap Minggu aktivasi kadang gagal terus, baru kali ini udah capek pake livin ,";27/12/2025 05:44;
Reni Dwi18;1;aplikasi bosok amen update ae!! wes memori penuh kon update. padahal baru banget kemaren update!!;27/12/2025 04:29;
Jagatsamudra Samudra113;5;good apk;27/12/2025 04:26;
Edo Sastra;5;bagus;27/12/2025 03:56;
Yuliana Nur Hidayah;5;please if updates can you very fast. can't so long, I'm waiting.. 🙏🏻;27/12/2025 03:52;
R RMD;5;tidak ada masalah;27/12/2025 03:36;
Vita Nurlayli;5;dengan livin semua transaksi saya jadi lebih mudah;27/12/2025 03:28;
Raka Arief;5;tolong segera di update,di karenakan ada masalah login di xiaomi hyperOs 3;27/12/2025 02:47;
Deborah Fadillah;3;serius nanya nih fungsi nya untuk update terus apa ya?;27/12/2025 02:29;
Cantika Nainggolan;5;top;27/12/2025 02:25;
siti nurlela;5;sangat membantu ada Livin;27/12/2025 01:46;
medi;1;ga bisa login diminta otp dari sms setelah di masukan otp layanan tdk tersedia , kalau layanan tdk tersedia ngapain disediain;27/12/2025 01:38;
Rahma Jesika Simbolon;2;Masa dikit-dikit ke log out. padahal saldo masih ada, sandi pun tau, nomor hp mu pun tetap. tapi terus-terusan susah login.;27/12/2025 00:02;
Bogor Fishing;1;selalu telat pembayaran dari luar negri dan selalu tidak melayani proses uang yang masuk dari luar negri disaat ada cuti bersama dan hari Sabtu masih sangat manual sistemnya payah banget mending pindah ke bank yang lain kalo seperti ini terus kurang mendahului nasabah payah jelek banget pelayanannya buruk,ada M banking mandiri gak ngebantu juga masih sistem kuno lah jelek lah pelayanannya nih makan tuh bintan 1 perbaiki dulu kinerjanya;26/12/2025 23:07;
ISTVID CHANEL;5;mntap;26/12/2025 22:55;
nanangarisetiawan;1;"GILA BANGET INI SEKELAS MANDIRI LOH INI, MASAK IYA TABUNGAN NOW ITU KAN PERUNTUKANNYA DIGITAL, BAGI BEBERAPA NASABAH KAN TIDAK MEMILIKI KARTU DEBIT WONG SUDAH ADA DALAM LIVIN, YANG JADI MASALAH SAAT BELUM MEMILIKI KARTU DEBIT DAN APLIKASI SERING ""FORECLOSED SENDIRI"" TIBA TIBA LOGOUT, MAU MASUK LAGI ITU NGGAK BISA WOY HARUS PAKE KARTU DEBIT, YA ELAH INI UDAH ZAMAN DIGITAL LO, KENAPA NGGAK CUKUP VERIFIKASI KTP + NOMER HP + EMAIL DAN SELFIE YA, CONTOH TU BRIMO DAN WONDR BNI TANPA KARTU DEBIT 🤬🤬🤬";26/12/2025 21:27;
Tugi Yatno;1;endapan saldo terbanyak dr bank bank lain, make krna terpaksa;26/12/2025 19:50;
Muklas misteri;2;dulu tgl 02-07-2022 gw kasih bintang 5 ulasan bagus, sekarang gw kasih bintang 2 makin kesini makin ribet ni aplikasi kalo malem di atas jam 12 susah buat transaksi Qris gagal terus transfer gagal terus, ribet banget buat area² yang ATM nya jauh, tolong di perbaiki tiap malem perawatan terus jadul banget ni servernya upgrade lah jangan lemot terus bukan mempermudah konsumen malah makin kesini makin ribet ni aplikasi...;26/12/2025 18:45;
Silmi;1;"Livin keblokir tp pas mau buka blokir selalu muncul ""PROSES BELUM DAPAT DILANJUTKAN"" pdhl udh bener ngisi nmr kartu debitnya jaringan lancar pulsa juga ada dan kartu juga udh aktif. dah lah";26/12/2025 18:42;
Sheilagank 1996;1;kebanyakan pemeliharaan mandiri tolol bgt;26/12/2025 18:16;
Ndoo S;1;aplikasi bobrok sampah , setiap hari nge kikis saldo ku;26/12/2025 18:06;
akhomba a;5;ok;26/12/2025 17:39;
Elah usup;5;bagus;26/12/2025 17:37;
Bima Sasikirono;1;lagi urgent . malah sering pemeliharaan maintenance;26/12/2025 16:03;
Iqbaal Saabiqi Dhiya Ulhaq;1;Selalu ada maintenance di jam 11.00 - 01.30 bikin transaksi tersendat...;26/12/2025 16:01;
Viola XD;5;Good job;26/12/2025 15:53;
Ro Diyah;5;alkhamdulillah dah ngk pernah ada kendala apapun;26/12/2025 15:19;
Ran Tang;3;𝐢𝐧𝐢 𝐤𝐞𝐧𝐚𝐩𝐚𝐡 𝐥𝐠𝐢 𝐬𝐢𝐡 𝐥𝐢𝐯𝐢;26/12/2025 15:17;
Muh Rizaldi;1;pas mau buka livin tiba2 muncul akun belum dapat diakses, cari solusi di ytbe ternyata banyak kasus yg sama padahal ga prnh salah kata sandi tiba banget bgtu. cek di rep nya mau ke kantor cabang tapi ga ada hasil sama skali. padahal ada aplikasi sbnrnya memudahkan sih tapi kok livin gini ya, kecewa bgt;26/12/2025 15:11;
8APB_ Yulia;3;enak sih pakeknya...tapi keseringan update, tapi gaada perubahan. cape banget sama Livin;26/12/2025 14:35;
Shojiro Jiro;4;masih percaya dengan mandiri;26/12/2025 13:40;
Rubell Romil;5;ok;26/12/2025 13:18;
Wawan Setiawan;5;Sipppppppp;26/12/2025 13:03;
Nasir Syarif;1;tidak bisa dibuka;26/12/2025 12:35;
Tri rahayu hapsari Ayu;5;ok;26/12/2025 11:32;
M. Yahya Muhanmad Yahya;5;terbaik👍💯;26/12/2025 11:24;
Zlatan Robby;1;buruk ! kami sedang mengecek hal ini sampai jembuten;26/12/2025 11:18;
Yesril Riel;1;niat bantu teman yang kerja di bank mandiri buat rekening malah rekeningnya terblokir mana sudah setor 100 ribu lagi.. di suruh hubungi 14000 tapi setelah di hubungi malah di suruh menunggu sampai hari kerja dasar bank aneh;26/12/2025 11:17;
Lana Skw;1;anjir ini apk gma kehapus gak punya kartu atm nya..... gimana cara masukya lagi cuma punya nomer rekening aja??????);26/12/2025 11:15;
Mulyadi Mahmud;5;keren;26/12/2025 11:11;
Afifah Qomariyah;1;suka eror . lelet lemot ntah apa apa;26/12/2025 11:08;
Aa Zn;4;Tolong dibantu, dihuawei pura 80 rada eror nih, aplikasi gak respon;26/12/2025 10:56;
Aurora Darmasurya;1;iklannya menyebalkan;26/12/2025 10:41;
Janis Mandock;5;terima kasih banyak atas semua pelayanan yang terbaik 🙏🙏;26/12/2025 10:19;
Della Adiyana;3;pembaruan mulu dah;26/12/2025 09:51;
Kiara Manis;3;kok Mau buka mbanking gak bisa2 ya muter2 trus smnjak mlam natal sampe sekarang padahal kouta Banyak. jdi ribet mau transaksi ya hrus ke Atm dulu.;26/12/2025 09:49;
Wahyu Rizali;5;bagus;26/12/2025 09:49;
Salman Fatahillah;1;lama2 ini Livin gak bener , masa ada uang masuk tiba2 kepotong 25k kagak jelas udah sering banget kaya gtu 😡;26/12/2025 09:36;
Hanya Waktu;5;pokoknya hebat;26/12/2025 09:04;
Adrofdita;5;simple to operate dan fitur lengkap;26/12/2025 08:52;
Ren.;1;ini gimana sih saya baru bikin kartu mandiri dari perusahaan trs saya download livin tapi gabisa loginnya udah masukin nomor tele buat kode tapi malah gabisa katanya layanan ini sedang tidak tersedia, kecewa;26/12/2025 08:40;
Melda Ratnawati Manurung;5;Mantap;26/12/2025 08:38;
Ika Rosilawati;2;masih gini aja mau buka aplikasi nya susah banget, sampe skrng g bisa;26/12/2025 08:02;
Adhen Akbar;3;makin update makin parah gk bisa buka apk y🤦‍♂️;26/12/2025 07:54;
Rifa Rohadatul Aisy;5;lebih membantu di saat harus satset untung ada livin by mandiri apapun dedline terhendle;26/12/2025 07:39;
Riflay;1;Kenapa aplikasinya ga menyesuaikan pemilik gadget, kan tidak semua pemilik Livin mampu beli hp bagus. Aplikasi harus 7.0 ke atas. itulah jeleknya, itulah kelemahan BU mN.;26/12/2025 07:22;
Paus Cassiopella;3;tolong dong, livin' jgn keseringan update, soalnya klo ga diupdate aplikasinya gabisa dipake. Sedangkan, memory tu penuh harus hapus beberapa aplikasi dlu jadinyaa;26/12/2025 07:18;
Lala;1;kenapa paa buka mau masukin data gabisa kembali mulu tbtb logout;26/12/2025 07:16;
Rohmatul Hasanah;4;sebenarnya saya sudah nyaman pakai Livin tapi sekarang kenapa ya tidak bisa log in ke akun saya ... mana saya lagi di luar negeri masa harus nunggu 2th lagi;26/12/2025 06:57;
Jungjun Z abidin;5;sukses buat mandiri;26/12/2025 06:29;
MIFTAHUL KHOIRI;2;mff ko ke gini terus lah klw mw transaksi paya x gelex terus living nya kenapa ya jaringan bagus nya tapi ko baya mutar 2 aja terus udah 3 lo saya cobak to tetap sama;26/12/2025 06:23;
D A R K .K N I G H T Squad;5;knapa saya tidak bisa login ke HP yg lain?;26/12/2025 05:40;
Yoga Blegux;1;Kalau di uninstal terus di instal lagi login nya harus pakai nomor kartu. sedangkan saya registrasi hanya lewat online saja;26/12/2025 05:37;
angga prabowo;4;cara aktifasi auto debit mandiri belum bisa di gunakan;26/12/2025 05:33;
atmo ko;1;ngadat saat mau dipakai di ATM Banyumas, bikin kesal;26/12/2025 05:00;
Ai Siti saripah;5;maaf knapa ya harus update terus memo aku habis...bisa ga klau ga update;26/12/2025 04:57;
Kania Ayu23;5;semudah itu buat rekening mandiri,gek perlu antri di kantor cabang,,cukup dari rumah dan seminggu kemudian kartu atmnya sampai dirumah... terimakasih mandiri,semoga sukses selalu dan semoga lancar mbanking nya...;26/12/2025 04:46;
Ucih Store;5;aplikasi ini mantap sangat membatu sekali;26/12/2025 04:42;
Ruang Ilmiah;1;Duh... Pas mAu dipake Error Dong.. (Tidak Terhubung);26/12/2025 03:50;
Sahrul Maisi;5;bagus bangat;26/12/2025 03:18;
Moch Hikmal Iffatuddin;1;login ke livin lama banget;26/12/2025 03:08;
Nandana Ilham Ilyasa;1;gagal login terus padahal lagi butuh banget. saran pake aplikasi bank selain Livin saja;26/12/2025 03:06;
Kang Fandi;5;bagus;26/12/2025 03:02;
Faiza Syalsabillah;1;Livin jelek aplikasinya suka keluar sendiri jadi harus verifikasi lagi dan prosesnya error dan gagal terus.;26/12/2025 02:44;
Yohana Delon;1;ngga jelas banget nih aplikasi,;26/12/2025 02:39;
Yon Paryono;5;agak susah sekarang;26/12/2025 02:23;
assiappp;5;Kenapa Livin saya gak ada notifikasi ya, padahal settingan udah aktif semua;26/12/2025 02:01;
Akhmad Rudiansyah;3;min gimana cara mengatasi tranferan yang tidak masuk , padahal di resi tertera sukses;26/12/2025 01:33;
... .0k P00.L.';5;sangat mudah untuk d gunakan;26/12/2025 01:15;
Yanto Yanto;5;jadi bisa segalalanya di aplikasi ini terima kasih;26/12/2025 01:01;
Boedy Digital;5;kok sering susah buka aplikasi nya;26/12/2025 00:24;
Togeek;5;sangat membantu dan baik srkali;26/12/2025 00:11;
Bunga Adeni;4;Aplikasi ini sangat membantu, terutama dalam hal pembayaran transaksi sehari-hari. Terlebih bisa deposito dan to up melalui aplikasi, sehingga memudahkan konsumen. Pada aplikasi ini kan ada fitur investasi, kalau bisa ditingkatkan lagi layanan pada fitur ini. Tolong diberikan lebih banyak pilihan produk terutama untuk reksa dana. Khusus untuk investasi saham, diberikan juga panduan lengkap mengenai istilah yang ada. Tolong perbaikan untuk login aplikasi, agar tidak menunggu lama.;25/12/2025 23:18;
Siti Aspiyah;4;setelah diperbaharui ada fitur yg hilang, termasuk power cash;25/12/2025 22:50;
Sulae man;5;Livin'by Mandiri,emang paling keren 👍👍👍 dan mantaaap 👍;25/12/2025 20:44;
Wartel Suspas;5;mantap;25/12/2025 19:29;
fery Vivo;1;penanganan lemot. customer service tidak cekatan;25/12/2025 19:21;
Hidayat Arip;5;*Saya ingin secepatnya Fitur di Aplikasi Livin’ by versi lebih modern & terbaru banget Mandiri (Super Lengkap & Detail):* dll. 1. *Notifikasi Transaksi Real-time & Cerdas:* - Tambahkan *fitur notifikasi teks + suara (Smart Voice Alert)* untuk: - Transaksi masuk & keluar (transfer, pembayaran, top up, dll.) - Notifikasi saldo bertambah/berkurang secara real-time. - Suara notifikasi+teks bisa bawaan aplikasi livin by mandiri (misal: “Saldo masuk Rp500.000”). didalm aplikasi Fitur;25/12/2025 19:18;
Jeno Livia;5;livin emang de bes dh, sjak pakai livin sgalanya jd lbh mudah, ayo rame-rame pakai livin Mandiri;25/12/2025 18:56;
Arjun Saputra;5;sengaja biar di baca kasih bintang full erorrrrr terussss erorrrrrr mau tf erorrrrrr banyak bngt kendalanya apalagi kita lagi makan mau scan erorrr lagi bikin naik darah make nya;25/12/2025 18:34;
Indra Ariansyah;1;dari semua bank yang gua pake, ampas banget satu ini serius. growin ampas livinpun sama aja;25/12/2025 18:30;
Qiun Zin;5;HP saya tidak bisa memakai livin;25/12/2025 17:47;
Rizky Fauzan;5;ok;25/12/2025 17:26;
Putry Bintang;5;dr 2023 pke Livin ini smpe skrang bagus n lancar banget ga ribet tpi lancar kalo lg ada saldo ajja ya guyss😄 thanks livin mandiri 🥰😍;25/12/2025 17:20;
Irsyam Anugerah Ramadhan;2;masih banyak bug login belum berhasil terhubung mulu...tolong tim IT buat cepet2 update secara berkala untuk memperbaiki bug aplikasi jaringan wifi lancar, hapus memori juga udah masih aja gk ilang;25/12/2025 17:11;
melly win;1;semua kena admin payah;25/12/2025 16:59;
Asep Syaifulbahri;1;Kalau jam malam susah banget buat transaksi,ga bisa buat keperluan mendesak.Payah!!!;25/12/2025 16:51;
Erik Wahid Awaludin Awaludin;1;butuh penjelas aja kalo lagi scen kenapa gagal Mulu yaa;25/12/2025 16:32;
Arsih Aci;5;good;25/12/2025 16:28;
Muhamad Sokhy;1;aplikasi gangguan mulu cape bat;25/12/2025 16:04;
Firlia Nur Fadila;4;Skrg top up ke dana kena admin 500 rupiah? biaya admin makin lama makin naik;25/12/2025 16:00;
Yogi Nurdiansyah;5;👍;25/12/2025 15:34;
rendy tombeng;5;ok;25/12/2025 14:56;
Sri Listari;1;Ini aplikasi kok g bisa d buka knp ya?sering begini g bisa d buka;25/12/2025 14:15;
Wilher Sihaloho;5;matap;25/12/2025 14:15;
Naila Shopy;4;sebenernya sangat terbantu dgn adanya livin, tapi ko harus di upgrade terus yaaa? kan memorinya gk cuma buat livin😔 jadi apk nya gabisa dibuka;25/12/2025 14:02;
Wirawanto Doe;3;dikasih bintang 3 dulu,cos belum terlalu digunalan;25/12/2025 13:51;
Nova Damayanti;4;mandiri selalu di hati;25/12/2025 13:49;
Yuni Safira;1;ga bisa di buka sama sekali applikasi nya padahal jaringan stabil, saya buka apps bank lain bisa kok;25/12/2025 13:44;
Ferry Gazali;5;Mantaap;25/12/2025 13:37;
ollie za;5;sebelum'a alhamdulillah lacar, cm bru merhatiin kl topup knp ad admin lg y, n powercash'a kok jd ilang d menu;25/12/2025 13:13;
Wiharta Atta;1;Ini Mbangking gimana sih , Ga jelas banget Saldo minimal emang harus berapa sih KOCAK bgt dah , Harus sampe ada minimal , Beda sama bank BCA lebih enak di pake di banding Bank ini;25/12/2025 13:06;
ALDO FERDIANSAH;5;pelayana sangat ramah dan cepet sangat rekomen buat nabung ,teransaksi dan lain²;25/12/2025 13:01;
CHR;1;Bank sebesar ini hanya menyelesaikan masalah keluhan nasabah terkait aplikasinya sendiri (livin by mandiri) terblokir kode RPT-02 leletnya minta ampun saya harus bolak balik bank berulang kali mengisi form, membuat surat pernyataan, mengirim keluhan melalui email & WA tapi sudah 2 minggu tidak selesai juga mending tutup saja aplikasinya.;25/12/2025 12:59;
Daris Dar;1;aduhhhh..... terpaksa saya kase reting bintang 1 ada keperluan dadakan baru apk livin setaip bulan d blok. bosan saya.... parah;25/12/2025 12:20;
atika apriliyanti;4;klw bisa berikan atau munculkan info penerima di cek sebelum bnr² lanjut di klik kirim;25/12/2025 12:20;
uwo marulloh;5;mantap;25/12/2025 12:14;
Rohani Hani;2;malas banget hampir tiap bulan minta update;25/12/2025 12:07;
Asyima imah;3;kok layanan buruk yaa;25/12/2025 11:44;
Iwan herawan;5;bagus membantu;25/12/2025 11:39;
Rakes Mosa;1;tidak bisa loading masuk ke livinn, muncul notif, belum berhasil terhubung;25/12/2025 11:39;
sulaeman eman;5;mantap;25/12/2025 11:31;
Chandi Amalli;5;sangat membantu;25/12/2025 10:48;
wayudi 201;5;ga lama bikin buka rekning langsung di anterin mang mandiri nice banget;25/12/2025 10:33;
Tianfm;1;maaf gw uninstall, ribet, bertele - tele dan mempersulit!! cape...;25/12/2025 10:33;
Reny Najib;5;Kren apk nya;25/12/2025 10:28;
hartini;2;"bolak balil harus update aplikasi terus... dan itu nggak ada peringatan sebelumnya. tau"" harus update kalo nggak ya gak bisa dipake";25/12/2025 10:17;
Nasruddin;3;oke;25/12/2025 10:16;
Eivert Voerman;5;masa finger saya salah terus, dah gitu baru 1 kali salah pasword langsung ke blokir. Tolong dong jangan sekali salah langsung di ganti. jadi susah semuanya;25/12/2025 10:12;
Dasman;5;terima kasih sangat membantu;25/12/2025 09:55;
Bangamy 21;5;mnatap;25/12/2025 09:53;
Goceng Goceng;5;Gooood;25/12/2025 09:29;
sugeng;5;bagus lah bisa tau saldo di rekenig mandiri;25/12/2025 09:25;
Ilham Darwis;1;bikin malu ini aplikasi kalau mai maintrnance jangan di jam aktivitas dong. sangat merugikan skali;25/12/2025 09:01;
Fitra Hardyanto;2;sebenarnya biaya admin berapa, masa transaksi ada 2 biaya admin padahal ke top up ewalet. Dan harus update trus perbulannya. Capek capek;25/12/2025 08:54;
Ryan Armadan;3;maaf min,kenapa ya saldo kartu kredit sy mines? padahal sy sudah bayar di tgl 6 desember sejumlah tiga ratus sekian dan belum ada transaksi lain sampai saat ini;25/12/2025 08:50;
Wahyu Adam;1;Banyak Error nya.... untuk Login saja susah banget... gak pantes disebut Bank plat merah... kejadian seperti ini sering sekali kayaknya layanan gak pernah diperbaiki;25/12/2025 08:28;
Farel Pranata;1;plis lah kalau loading jangan lama lama, masa loading satu jam lebih, capek nungguinnya;25/12/2025 07:43;
