userName;score;content;at;
Bheto Bhr;1;halo kepada yang terhormat,saya mau mangajukan keluhan tentang aplikasi livin tidak bisa di buka mohon bantuanya;29/12/2025 11:15;
nerf gaming;5;Alhamdulillah...;29/12/2025 11:10;
Irfan Afandi;5;"mantap. semoga semakin lama bekembang lebih baik dan bnyk fitur"" yang menguntungkan bagi nasabah";29/12/2025 11:08;
Ami Bunayya;5;nice;29/12/2025 10:55;
Yoga Ga;2;makin rumit aja masuknya selalu ditolak;29/12/2025 10:47;
Mukhamadali Ululngazmi;5;bagus;29/12/2025 10:41;
Agus Wiyono;5;keren;29/12/2025 10:35;
Masita Masita;1;baru kali ini livin gangguan sampai seharian tolong diperbaliki;29/12/2025 10:12;
AHMADR Isaldi;2;gimana ni masa di tendang terus pas masuk apknya udah hapus download tetap aja sama tdk bisa masukk;29/12/2025 10:06;
Agus Pian;1;apk selalu maintenance sampai sekarang tdk bisa di buka;29/12/2025 09:32;
Jajang Arsandi;5;goooood;29/12/2025 09:22;
Hadi Tofa;1;berkali kali verifikasi tapi kembali mengulang terus padahal data sudah benar,tolong diperbaiki layanan livin yang baru;29/12/2025 09:13;
Keke Salma;1;Minta update terus ke versi yg baru, tpi prosese ny lama loading ny lama;29/12/2025 08:59;
Andrian Kaffa;2;enak pakek wonder bni sih di update yang sekarang akun lama Dorman bisa kebuka cuma login truss suruh setor tunai bisa di pakek lagi la ini harus ke kantor cabang;29/12/2025 08:35;
Sri Fajar handayani;3;kenapa gak bisa login udh seminggu lebih lagi ad gangguan kah;29/12/2025 08:34;
Diah Sari;5;Bagus;29/12/2025 07:51;
Andi Irwanto;1;"simpan uang di livin gak aman sumpah jadi trauma ada uang di livin selalu di sedot untuk ksm padahal udah ada dana yg di blokir 1x + bayaran bulan ini, ehh kalo ada uang lebih masih di sedot juga dalam satu bulan bisa di sedot sampek 3x pembayaran, harus komplain dulu dan itu harus langsung ke kantor baru bisa di proses agar uang lebih bisa di kembalikan itu pun repot sekali, trauma simpan uang di livin, jadi ada uang masuk ke livin buru"" di tf ke bank lain biar lebih aman,";29/12/2025 07:41;
arganta arahman;5;good;29/12/2025 07:39;
Gilang Aji Prabowo;5;aplikasi bagus;29/12/2025 07:02;
Gde Leo Mahaputra;1;tidak bsa daftar sering keluar sendiri;29/12/2025 06:53;
holes05_official;1;login nya harus pake sms ga bisa pake whatsapp;29/12/2025 06:05;
Gombes Cok;3;livin memang memudahkan biaya transfer,,tapi minusnya setiap bulan harus update terbaru,,;29/12/2025 06:05;
edi prasetijo;3;HP error dan reboot ulang lanjut log out apk Livin by mandiri tapi waktu download ada notif hp tidak support padahal sudah android 10 .. gimana ini ya mohon masukannya..;29/12/2025 05:50;
yudhee syach;5;semudah itu, satset dan anti ribet. cocok buat yg pengen buka rekening bank tanpa harus antri ke bank nya.;29/12/2025 05:46;
Iya Yah febi;1;tiba tiba tidak bisa di akses padahal tidak sedang telefon;29/12/2025 05:44;
Muhammad Ali;1;living mandiri terlalu sering update membuat nasabah terbebani waktu dan cost;29/12/2025 05:11;
El Agus Hidayat Lukman;5;siap dioperasikan.;29/12/2025 05:08;
Makmuri;1;Banyak potongan dan biaya layanan, setiap pembayaran menggunakan VA kena biaya layanan 1000-1500 per transaksi. padahal sebelumnya ngga ada biaya.;29/12/2025 05:01;
Deni Malik;3;untuk loginnya lama.;29/12/2025 04:59;
Mamiq Agus;5;yes very good;29/12/2025 04:43;
Desi Ekaliana;1;mau login nggak bisa2 gimana sih??? padahal jaringan bagus menghambat banget;29/12/2025 04:27;
Mateus Evan;5;sangat membantu;29/12/2025 03:18;
Adventures 2017;5;Praktis Dan mudah di gunakan;29/12/2025 03:17;
M ainul yaqin;1;Tolong, kalian itu bank besar dan termasuk dalam BUMN, masa BUMN yang punya negara kalah kualitas dengan bank konvensional swasta. Hadeh;29/12/2025 02:58;
Heni Nurhaeni;3;halo kak mau tanya.. aku kan di taiwan ya trus pas bikin ATM nya di indo tapi knp pas di taiwan ATM nya nggak bisa kebuka tulisan nya ke blokir trus ya;29/12/2025 02:46;
Bambang Triyanto;5;sangat musah di gunakan;29/12/2025 02:38;
Fadhil&Asqa Gani;5;harus di uninstall dulu baru bisa login lagi;29/12/2025 01:58;
Mulyadi Mulyadi;5;bagus;29/12/2025 01:56;
Roheni;5;pelayanan bagus memuaskan;29/12/2025 01:47;
Puji Yatno;4;kok gk mau lowding ya?macet;29/12/2025 01:31;
ITALHYA MARWA;5;sangat membantu dalam transaksi keuangan saya. mohon ditingkatkan pelayanannya.;29/12/2025 01:29;
Krisna Cihuy;3;Harus update terus;29/12/2025 01:06;
Henry Panjaitan;1;layanan yg buruk ketika;29/12/2025 00:40;
Emi Santi;5;semuanya lebih mudah dengan livin' by Mandir;29/12/2025 00:37;
Huda Huda;5;memudahkan segala urusan;29/12/2025 00:06;
Adi Mda;5;baik;28/12/2025 23:45;
